"ID" "out_l1_r1_1km" "out_l1_r1_2km" "out_l1_r1_05km" "out_l2_r1_1km" "out_l2_r2_1km" "out_l2_r3_1km" "out_l2_r4_1km" "out_l2_r1_2km" "out_l2_r2_2km" "out_l2_r3_2km" "out_l2_r4_2km" "out_l2_r1_05km" "out_l2_r2_05km" "out_l2_r3_05km" "out_l2_r4_05km" "out_l3_r2_1km" "out_l4_r2_1km" "out_l3_r2_2km" "out_l4_r2_2km" "out_l3_r2_05km" "out_l4_r2_05km" "out_l5_r3_1km" "out_l8_r3_1km" "out_l9_r3_1km" "out_l5_r3_2km" "out_l8_r3_2km" "out_l9_r3_2km" "out_l5_r3_05km" "out_l8_r3_05km" "out_l9_r3_05km" "out_l5_r4_1km" "out_l6_r4_1km" "out_l7_r4_1km" "out_l5_r4_2km" "out_l6_r4_2km" "out_l7_r4_2km" "out_l5_r4_05km" "out_l6_r4_05km" "out_l7_r4_05km" "out_l8_r8_1km" "out_l8_r9_1km" "out_l9_r8_1km" "out_l9_r9_1km" "out_l8_r8_2km" "out_l8_r9_2km" "out_l9_r8_2km" "out_l9_r9_2km" "out_l8_r8_05km" "out_l8_r9_05km" "out_l9_r8_05km" "out_l9_r9_05km" "out_l10_r3_1km" "out_l11_r3_1km" "out_l10_r3_2km" "out_l11_r3_2km" "out_l10_r3_05km" "out_l11_r3_05km" "Long" "Lat" "Source" "Ac_pres" "Ac_pres2" "Ac_absence" "t_area1" "t_area2" "t_area05" "for_area2" "for_area1" "for_area05" "mus_area2" "mus_area1" "mus_area05" "mus_tamanho" "mus_perimetro" "big_distance" "sm_distance" "big_leng2" "big_leng1" "big_leng05" "sm_leng2" "sm_leng1" "sm_leng05" "obs"
"M_H" 244.5776439893 197.9317041465 314.4158723866 211.7227378476 215.0921155677 218.1981408786 207.3206695194 125.1563674086 128.4443505055 131.4488494499 110.8012574629 309.3728422946 313.7650373875 317.8202375791 309.3727853462 214.0536987143 175.2361075106 128.0560706598 106.1013999542 312.4406434053 255.1375772502 245.068270929 256.9831379155 295.4344075979 144.1263444419 153.3254607231 174.8618233872 368.6077033503 375.0441282078 431.867204262 235.2155027042 257.5129782878 282.7730607456 122.8552377031 130.8173626098 141.3725607366 363.8900530935 412.8370873234 466.30667086 260.140666159 260.140666159 298.8331990803 298.8331990803 156.3879150569 156.3879150569 178.1855287037 178.1855287037 379.1611978873 379.1611978873 436.2879852962 436.2879852962 244.7036402227 247.4073104296 193.4195990186 197.7096730602 321.8206718734 322.2918183579 -39.99072468 -18.84696905 "Plots" "No" 0 1 3174746 12692308 793582 2236758 351479 11353 3506063 1279667 586040 914831 6636.64 5681.28 76.96 0 0 0 63172.35 13310.14 2890.45 "none"
"M_I" 244.5762895327 168.7416174554 314.3692368297 177.7826025922 182.2192710167 186.2972046883 160.9957258501 112.5953672627 115.2765489493 117.7439667625 101.5676459121 246.0585156653 252.0162324936 257.4912444003 226.209627111 182.2192709835 150.5821148433 115.0972542921 95.0490938265 252.0162321125 208.0651296654 213.659242236 217.80888916 248.8956436202 132.2243627022 137.7410068188 157.4742430018 299.411657829 301.272299372 344.4819219992 189.739763795 214.1793889363 242.2675936665 116.7605497069 128.4331629655 142.8806147334 270.2294192508 310.0932441361 353.8095532766 221.9666167127 221.9666167127 253.3896953742 253.3896953742 140.254646482 140.254646482 160.1871246529 160.1871246529 306.8551999089 306.8551984024 350.5165225497 350.5165225497 236.9217525268 243.445509853 161.4769392395 166.614542279 307.3030965957 314.5245250742 -39.99999193 -18.85031164 "Plots" "No" 0 1 3174743 12692296 793581 2328661 377217 100513 4284492 1719712 601457 2334471 12389.59 6415.53 103.12 0 0 0 61200.15 16300.79 4889.86 "none"
"M_J" 245.5646362198 182.8959366613 316.0580653508 192.0429565864 195.6489642493 198.9928724373 180.4364534899 130.3262913372 133.2080902699 135.7839711161 118.7674267237 297.6368354948 302.7799442953 307.5170074803 288.7177573986 195.6489642493 160.4691598313 133.207965793 109.6186946647 302.7799442953 247.8108696916 221.0642359272 234.081856621 268.8601393139 149.2570255349 159.2961369693 182.5500446293 344.1168364947 362.3448721705 416.6915697175 201.6930520596 219.1042382767 238.583270286 131.6855786741 141.4826174204 153.1832000986 325.4568571178 359.215033452 393.6553357085 237.4837026898 237.4837027462 272.5083016295 272.5083016295 161.847385986 161.9208540603 185.2944783538 185.3782030299 367.1719361783 367.1719361783 421.8998154682 421.8998154682 243.1976043799 247.462669543 179.2511455544 183.1698008036 322.2918371588 323.6346182972 -39.422733 -17.68162141 "Plots" "Yes" 1 0 3175778 12696437 793840 1950227 477438 34810 3703543 1151098 335104 2787484 15262.21 1308.9 71.91 3115.66 0 0 74684.87 16280.32 4523.33 "mussu_MJ=ML"
"M_L" 243.7608321144 187.0281150323 313.1467180393 232.9696930672 236.0011185254 238.1350965807 230.5620909136 103.7949011499 106.873115236 109.1121583544 93.9086635586 305.5297963724 309.2577370526 311.7063421757 304.1092309754 236.0003369386 191.4142941027 106.8728988036 88.2427843988 309.2577370526 250.4306257286 276.7036056185 282.6302640831 326.8456357272 120.2564383261 127.6613042407 145.9608567461 366.3152734535 370.4146782767 428.7700266399 270.0936479311 306.2158852576 344.2483809462 103.9176454248 111.3077731848 119.9596921375 360.4535066123 413.8391823578 468.8354589612 284.2357806769 284.8202318329 328.6120762234 329.2503733157 129.3771901572 129.9501843479 147.8290530269 148.4418973117 372.0862834752 372.9356645556 430.6171032335 431.5587950718 246.4144166769 247.3102706841 180.6999176182 185.6152061893 317.6146307808 318.1870750228 -39.42048114 -17.66782466 "Plots" "Yes" 1 0 3175790 12696485 793843 2028850 121457 14539 4060668 1957783 603930 2787484 15262.21 149.27 146.25 3988.95 1978.04 954.9 65199.15 12742.06 2874.05 "mussu_ML=MJ"
"M_M" 245.081976615 159.7166689923 315.2593063895 170.3348598105 172.6091008367 174.7360297571 161.9043644681 75.6676812911 77.3456310989 78.9021226633 68.7056915063 300.8357819393 304.3513114917 307.5968641712 294.6590094974 172.6091008367 140.6040338185 77.3456310989 63.7146070447 304.3513114917 247.3105168629 199.2128380415 206.68967879 238.4688037347 86.9061439101 92.490316287 105.9347537803 352.7985097754 364.5433975851 421.1700947657 186.5446888852 208.619354815 232.3153656017 76.2898893855 82.3097023695 88.847338661 340.5899189872 382.9569984656 427.2384001471 208.8493298889 208.8493298889 240.7666369715 240.7666369715 94.0739863699 94.0739863699 107.6320206363 107.6320206363 367.8489348599 367.8489348599 424.7288498743 424.7288498743 235.729145135 242.5195519026 148.3539942163 155.0978627964 318.4384219994 319.7845516819 -39.49598766 -17.64200026 "Plots" "Yes" 1 0 3175813 12696573 793849 2723430 631026 31384 3594912 1177366 440494 1732471 9822.14 6200.67 80.5 0 0 0 60217.27 15695 3592.36 "none"
"M_N" 245.5464927518 163.9905994081 316.0135181874 230.3623895251 236.6340331944 242.0653452524 178.4900835964 122.2857548772 125.9936634213 129.1150023884 101.4053860267 297.5584502834 307.2514976556 315.7929611022 223.590066402 230.334282924 192.6807966232 120.3052975023 101.7952352281 304.1595782328 254.4318101164 267.8289425739 279.9557847128 316.9775470714 139.0824381927 147.9494661525 166.1907019805 346.8675099663 365.521153527 414.0439343476 201.5928717631 220.511560425 241.8366099481 110.9349376785 117.8836697247 125.9119840258 251.3299537311 273.6583744737 299.2153108992 285.2415564313 285.4553666863 322.7478957237 322.9759735874 150.8927950507 151.1100891072 169.3931977542 169.630649496 374.0270001773 374.2392242844 423.3510584862 423.5825777768 253.9410928159 255.2173811683 163.2255979314 166.4656781986 329.9546653112 331.5275410534 -39.47858395 -17.69411278 "Plots" "Yes" 1 0 3175768 12696394 793838 1228944 89700 37681 6548423 2057271 415077 9289255 26698.92 372.3 61.13 3930.21 1855.79 667.34 41461.91 10478.05 5543.98 "none"
"M_O" 243.7510110274 163.3781761689 313.1032300645 75.623062324 79.6246750167 82.6540143164 70.2360625705 25.1067591117 26.96690651 28.2681967316 20.2039438746 252.4511562621 258.6789017517 263.6187071743 250.0289334107 79.6242588554 67.4311597077 26.9346594244 23.1936317244 258.6789017517 212.858575066 85.7363798079 94.7721701575 106.6547941053 29.1776646391 31.9845249759 35.6213186525 296.236549729 309.236133216 354.1947605686 73.4399591944 74.677586577 77.322564727 21.195920212 21.2924157242 22.1050790966 284.8968622419 313.4991007669 347.1055476338 97.1014976699 97.847851669 109.146983028 109.9135243213 32.8228318643 33.3012264665 36.5060901498 36.9978870651 313.6526552771 314.3029344496 359.0660401166 359.775983426 212.7474926845 229.7496531664 135.5315271229 150.0945939208 307.0968357778 314.5750723462 -40.06304964 -19.11411309 "Plots" "No" 0 1 3174501 12691330 793521 4897314 1583893 159674 2215572 783676 385298 559671 4055.16 242.15 82.84 6063.01 2978.29 1251.43 64799.47 14153.58 5809.24 "none"
"N_A" 244.6178234912 195.6823405792 314.4943841221 134.0012763635 136.8509929875 139.5270536184 130.6083131463 80.9558234523 83.0238906318 84.9615097938 73.8853321869 209.7006344631 213.6782805977 217.3759568492 207.8137437302 136.8509929126 112.6499336117 81.6031521561 68.0553516334 213.6782805977 175.3116941688 158.0334400143 163.667255694 187.6017868435 94.2057731238 98.6330195349 112.0804459714 251.7192633988 255.6441758987 293.5808882853 150.2325458441 166.6561384707 185.0567600089 83.1872374114 89.2069147116 97.5426627123 245.2282809174 277.2757962898 313.3595833319 166.3819893568 166.3819893568 190.4792542534 190.4792542534 100.5858545749 100.5858545749 114.1417517686 114.1417517686 259.4043148471 259.4043148471 297.603198743 297.603198743 214.3564916452 229.0405800087 168.6387436781 181.6798554669 278.8476778211 295.6399634016 -39.90676664 -18.86492401 "Mussu_no_col" "No" 0 1 3174729 12692243 793578 3249664 695224 151200 2562439 1146592 488981 1167815 11861.9 2783.32 70.78 0 0 0 61447.54 17537.06 3849.15 "none"
"N_B" 245.0835835492 175.2752523176 315.2590325747 179.4279560514 182.2072926474 184.7309226782 174.7092076485 109.3455599894 111.0699109988 112.6595967138 104.9006110365 295.6805667912 298.9916743481 301.9720089082 294.1898556993 180.3511291988 147.9268488372 101.8498237022 86.4326021037 298.9916722026 242.6912585246 206.9042805979 217.3605007264 249.5271677883 122.9977716871 128.8657568555 144.4741598816 346.3114581993 358.1585623355 413.9527914758 197.6269056036 212.557112983 233.1345991509 115.5468771531 120.8342940516 129.9381949054 340.2178786731 378.124753387 420.9452931878 219.9417647829 219.9417647829 252.3512628932 252.3512628932 130.4618074431 130.4618074431 146.1744220163 146.1744220163 361.2116915401 361.2116915401 417.317305382 417.317305382 240.4989571451 244.916671937 168.3115994638 172.9478958048 316.4787142202 318.5665216039 -39.9866736 -18.88263742 "Mussu_no_col" "No" 0 1 3174713 12692178 793574 1600653 354587 41871 3010286 1092276 453370 402907 7278.34 3649.26 138.77 0 0 0 51343.25 17407.52 4084 "none"
"N_C" 244.4384722639 164.1398735167 314.1920839226 211.6102302997 212.5105201633 213.3227861997 209.7059020197 118.8808348831 120.455977778 121.9068245404 111.621082686 313.7313820468 313.7413870169 313.7506455663 313.73138185 212.5105201633 170.9620679956 120.4538746565 98.0743708291 313.7413870169 251.0040226796 250.4995935713 254.8407283687 296.2543223695 136.632399647 144.2425769628 166.4311710256 376.4877280119 376.487729571 439.2239347553 246.6510238252 281.1472860634 316.5986738669 125.6832559691 135.0091618993 147.2953869607 376.4776564483 439.1955904204 501.942036074 255.6724524496 255.6724524496 297.168771659 297.168771659 145.7212244307 145.7212244307 168.0260637245 168.0260637245 376.4971623795 376.4971623795 439.2340539058 439.2340539058 241.1431153449 243.156475464 159.1649232256 162.0983597921 314.0723479529 314.1263306692 -39.87244777 -18.51179213 "Mussu_no_col" "Yes" 1 0 3175049 12693519 793658 1439420 235115 1958 4053165 1966206 782770 2124580 11934.48 2313.05 478.13 0 0 0 52078.39 8883.37 24.43 "none"
