"ID" "out_l1_r1_1km" "out_l1_r1_2km" "out_l1_r1_05km" "out_l2_r1_1km" "out_l2_r2_1km" "out_l2_r3_1km" "out_l2_r4_1km" "out_l2_r1_2km" "out_l2_r2_2km" "out_l2_r3_2km" "out_l2_r4_2km" "out_l2_r1_05km" "out_l2_r2_05km" "out_l2_r3_05km" "out_l2_r4_05km" "out_l3_r2_1km" "out_l4_r2_1km" "out_l3_r2_2km" "out_l4_r2_2km" "out_l3_r2_05km" "out_l4_r2_05km" "out_l5_r3_1km" "out_l8_r3_1km" "out_l9_r3_1km" "out_l5_r3_2km" "out_l8_r3_2km" "out_l9_r3_2km" "out_l5_r3_05km" "out_l8_r3_05km" "out_l9_r3_05km" "out_l5_r4_1km" "out_l6_r4_1km" "out_l7_r4_1km" "out_l5_r4_2km" "out_l6_r4_2km" "out_l7_r4_2km" "out_l5_r4_05km" "out_l6_r4_05km" "out_l7_r4_05km" "out_l8_r8_1km" "out_l8_r9_1km" "out_l9_r8_1km" "out_l9_r9_1km" "out_l8_r8_2km" "out_l8_r9_2km" "out_l9_r8_2km" "out_l9_r9_2km" "out_l8_r8_05km" "out_l8_r9_05km" "out_l9_r8_05km" "out_l9_r9_05km" "out_l10_r3_1km" "out_l11_r3_1km" "out_l10_r3_2km" "out_l11_r3_2km" "out_l10_r3_05km" "out_l11_r3_05km" "Long" "Lat" "Source" "Ac_pres" "Ac_pres2" "Ac_absence" "t_area1" "t_area2" "t_area05" "for_area2" "for_area1" "for_area05" "mus_area2" "mus_area1" "mus_area05" "mus_tamanho" "mus_perimetro" "big_distance" "sm_distance" "big_leng2" "big_leng1" "big_leng05" "sm_leng2" "sm_leng1" "sm_leng05" "obs"
"N_D" 245.0850587781 164.7523112328 315.2654356938 211.4852893783 213.5150547096 215.3460567654 206.6993293595 97.133955221 99.2412571216 101.1670130809 90.3376683646 301.4907742863 302.768959562 303.8747635394 298.8579620555 213.2958639731 172.8606113779 99.1501088645 81.6182284219 302.4060678111 243.337948755 246.0340852399 255.7320407434 295.8704815156 110.3070516842 118.6455456918 135.9040610657 358.3819957876 362.9259243938 421.7486085911 236.5850870381 262.3661440008 289.4224323189 98.6589184688 103.7466841275 110.6931374646 353.1791126987 404.4300805116 457.1323684888 257.6076814477 257.6076814477 297.9333618182 297.9333618182 120.6112937425 120.6112937425 138.0397229432 138.0397229432 364.0700316783 364.0700316783 423.0559803089 423.0559803089 241.2029504327 244.3155467001 156.8151016446 161.3578483938 314.869022969 315.9672970524 -39.42086517 -17.61484051 "Mussu_no_col" "No" 0 1 3175836 12696667 793855 1760772 367107 19248 3322091 1270339 557742 1238606 11038.61 4105.83 242.05 0 0 0 75719.59 16999.48 3096.78 "none"
"N_E" 243.6898384817 195.843603487 312.9777843546 166.6955022103 169.1425637596 171.4335439026 161.0087208728 102.1359555627 104.5533716005 106.5236469842 92.3630706187 297.7868980402 300.7475751648 303.4599060697 296.9644513536 168.6794447966 137.8142854055 104.3962899712 85.9401353341 299.1227042471 243.0446603782 190.9515497743 202.2949645582 232.9440914359 115.5264343513 124.9347761135 143.1525964007 354.4650063116 359.6217621871 415.4043342449 180.0319592842 195.0181031093 211.015738274 100.3303360865 105.4714805446 112.0118118176 349.5726875554 397.7462722531 448.3634649461 204.6200720403 204.6200722497 235.4155029764 235.4155031981 126.6920000074 126.9409314756 145.0244694523 145.3016041351 362.3835805377 362.383580669 418.3939061912 418.3939063662 237.4904753851 242.7733371821 188.9925055672 194.094433618 314.6912915422 316.4913301216 -39.85400131 -18.50928895 "Mussu_no_col" "No" 0 1 3175051 12693528 793658 1465349 394990 39771 2800893 864464 556380 566655 4242.14 942.34 75.52 3528.5 672.98 0 54187.53 14154.85 2655.93 "none"
"N_F" 243.7558103326 198.7069566452 313.1510132623 233.6002965722 236.0561044751 238.1290254289 233.0226445986 155.2537655992 157.5418355684 159.4917294853 149.2716407097 309.4295823737 312.6123519024 315.4133565703 309.0122125687 206.830275316 177.654709144 136.3644153764 118.4077162054 289.6792834035 242.5821946599 267.4655328629 269.7724812757 299.8210886013 175.5003574686 179.0881076759 197.5896960075 361.3533878576 364.2783225816 411.8184500554 263.6613193217 284.709553347 312.1511121161 165.3174684304 173.2982434267 187.2844512232 356.8133845839 394.1990090108 439.154897868 271.6876146978 271.8308194873 301.8569551344 302.0217908595 180.8846456338 181.0313654578 199.4949110836 199.6537063166 367.0253832681 367.0674917773 414.7638798195 414.8157997043 245.4547879572 246.7065122223 192.169435453 196.6669999425 318.1224570374 318.6020203155 -39.93151611 -18.86225764 "Mussu_no_col" "Yes" 1 0 3174732 12692252 793579 2821999 133291 10596 3306087 1113104 433314 470276 3091.54 495.81 92.82 3926.37 1738.63 128.72 49165.88 8548.04 1937.96 "none"
"N_G" 244.6199635519 161.6506807181 314.5199412219 4.4844168883 5.2575380266 6.0016016018 0 4.2839462827 4.9901608375 5.6627751826 0 10.2954447107 11.9608777453 13.5380785326 0 5.2575380266 5.090955536 4.9901608375 4.7902120868 11.9608777453 11.4374759755 6.102324357 6.1569505755 6.2781836414 5.7571197511 5.849895166 5.9975247963 14.0276876937 14.0276876957 14.4136225949 0 0 0 0 0 0 0 0 0 6.9079347333 6.9079347333 7.0556606129 7.0556606129 6.5304473898 6.5304473898 6.7088152322 6.7088152322 15.6257735808 15.6257735808 16.0923607528 16.0923607528 144.2486083521 182.862196558 96.2169474484 121.0983130469 201.5137460307 245.5746319228 -40.00581889 -19.11670301 "Mussu_no_col" "No" 0 1 3174499 12691321 793521 9604147 2627755 620173 541303 223158 158200 131233 2354.81 5328.52 254.71 0 0 0 25299.13 3676.77 872.17 "none"
"N_H" 245.0757004455 195.9412074825 315.2465120398 192.7161476971 195.9470735644 198.88495413 184.5788656925 134.8183757176 136.8422640333 138.6358326674 129.5095448876 262.9908908842 267.3622574194 271.4379055383 251.8785957017 187.9676712492 156.7032787779 120.362802441 104.0867657403 267.3622547745 218.7088146151 224.8643169836 231.2606312724 262.7516727682 152.2628389471 156.7927024407 173.804696351 314.7564101134 319.9876857475 368.1872447396 212.0798933861 231.9217472851 257.2914465627 143.9228322986 152.8040267867 164.9717980769 297.0611632181 333.5609403088 378.406836577 234.173469105 234.2246942076 265.8466987504 265.9099769272 158.4717164143 158.5586884818 175.54072852 175.6424987896 324.1292080022 324.1292081072 372.6058523018 372.6058523018 236.8437211357 243.0870047342 185.0755007723 191.8384377439 306.9805088694 314.2203448996 -39.95548162 -18.87893446 "Mussu_no_col" "No" 0 1 3174717 12692192 793575 1951383 263263 72572 2124629 1105602 542870 677027 5018.2 832.26 72.31 3629.99 1109.23 0 36984.48 11273.76 4068.89 "none"
"N_I" 245.0807174152 163.8598711969 315.232571579 198.8013379488 201.5603997488 204.0655689446 179.0707290229 106.1589307067 108.3172189021 110.2254074155 92.1525160338 288.799073128 292.1138005996 295.0715890326 274.8449126015 201.5603997488 164.1939494903 107.489859878 88.5292946194 292.1138005996 237.1551237335 233.6083239079 241.3442454727 278.321873073 123.492680725 129.2137610834 147.9195423742 343.3601399161 349.9067380624 404.3187024026 206.3691182143 228.6995919796 254.2479393574 104.263285031 110.7473130541 121.7006664841 322.7059075191 366.0968081607 412.264192859 243.9054357893 243.9054357893 281.1218447211 281.1218447211 131.1180623588 131.164348409 149.9989156803 150.0518911701 352.9433515982 352.9433515982 407.6908943346 407.6908943346 238.6437324748 243.2702319058 157.0675235018 161.4219317041 313.9690965279 316.5578899049 -39.54424812 -17.58894753 "Mussu_no_col" "No" 0 1 3175858 12696756 793860 2094164 469245 67065 4245456 1507940 523156 1661172 8648.17 1588.28 179.51 2286.22 0 0 61449.14 17204.63 4459.18 "none"
"N_J" 244.6267785577 163.4253934488 314.4974909117 192.0708460538 193.9182097782 195.6189866969 187.1621169672 104.1792506194 105.3315268481 106.3952663014 99.301632768 314.4974067404 317.162262261 319.5626175598 314.4567949632 193.9085137759 157.1355630492 105.3303800094 85.5197173863 317.0995982453 256.5155253173 223.0125244913 232.3413482527 268.8893879464 120.7636213414 126.1749969148 145.8498158514 370.08109744 380.0555871658 440.2351596404 214.300122035 238.8008560186 264.5244171557 113.2978050496 124.1355251527 137.2134153797 366.4672681126 416.0526277683 465.6803847943 234.0749138939 234.0749138939 270.7605054361 270.7605054361 127.2584391024 127.2584391024 147.0162638344 147.0162638344 382.5140937566 382.5140937566 442.94191715 442.94191715 239.1270164567 243.5235052837 155.0643126298 159.9613294382 319.5626764832 319.5626858782 -39.4593382 -17.75438043 "Mussu_no_col" "No" 0 1 3175716 12696186 793825 2168027 498810 184 3101007 1230459 502311 2910238 17151.03 6325.04 146.8 0 0 0 52824.79 11827.56 3058.05 "none"
"N_L" 245.0846014913 184.7257303201 315.2497195737 234.8385335443 237.0850675073 239.1359168383 233.2989475181 143.3007594481 145.5716452128 147.6699759208 141.0343741489 311.0641787847 313.0726593006 314.8987411608 310.9793166808 237.0844981643 192.0818451707 145.5389794648 118.9179728757 313.0726593006 252.6057516632 277.4565342864 284.0706174102 328.7733874926 165.8890424816 174.2324858327 200.589658455 370.2229312819 375.3024000496 435.4898502715 272.0563007673 306.8973954676 343.7975292134 159.4549800971 172.7140008575 189.2692977827 367.3646508948 421.3890016679 476.8046919077 286.1647854517 286.1647854517 331.0513505784 331.0513505784 176.3690878356 176.3690878356 202.8880662574 202.8880662574 377.1688209057 377.1688209057 437.5276543456 437.5276543456 246.3330245211 247.5126555393 180.9787799271 184.3806884681 317.1738608307 317.8626026548 -39.39893575 -17.6367597 "Mussu_no_col" "No" 0 1 3175817 12696591 793850 1745776 119888 20628 4610923 1945097 606943 2138371 15326.47 2854.78 163.47 0 0 0 78501.23 17375.25 2752.93 "none"
"N_M" 243.8332184609 159.3836344395 313.1549076107 212.6285591791 214.2484004782 215.728626468 198.4112791422 121.9019442934 123.0949194481 124.1902982565 113.3460614719 300.1673286075 301.7452738738 303.1297146958 278.258137351 214.2484004782 173.1415275416 123.0949194481 99.7668661838 301.7452738738 243.0119252029 250.993136734 256.7870515735 297.6799828001 142.7397139736 147.484329658 170.6627220149 356.3975570441 361.7967924523 420.2342601262 233.0915277022 266.6912205362 300.6326599979 131.2881342871 147.6266246624 164.9040623595 330.1828170518 380.5770812067 431.6994465352 258.2981619811 258.2981619811 299.3222694589 299.3222694589 148.6013670834 148.6013670834 171.8713414285 171.8713414285 363.2236732575 363.2236732575 421.8435431072 421.8435431072 242.5545276634 244.3467604848 154.073991757 157.2305352886 313.7175768363 314.5009704583 -39.37093226 -17.67469733 "Mussu_no_col" "No" 0 1 3175784 12696461 793842 1934006 214165 13874 4553231 1735737 572072 4969116 20403.99 2231.35 188.13 0 0 0 56372.81 13268.78 2454.67 "none"
"N_N" 243.8224127025 161.6779121528 313.2074726477 192.9458718733 195.1701458689 196.6189988776 191.626240652 99.3685913022 101.0925589019 102.4409595894 97.417206536 278.1165688754 280.3913728241 281.519230441 278.116568566 173.397752973 147.5979935518 94.6479342693 79.4456617303 254.9824069088 213.971173619 220.9613213202 223.7250756806 249.8843313542 114.052146725 118.0702213021 133.3373442807 324.5744137524 324.6667056176 366.374606008 215.8669395408 235.5538127327 257.4879882304 109.3890225549 116.3898440451 127.3357990972 320.7989364573 360.2505421044 400.4674355223 224.6893917329 225.2096871771 250.9334756661 251.4925095218 119.1777565041 119.4172384025 134.5111551547 134.7625959761 325.0643614921 325.8493555658 366.8209478402 367.696060542 233.3019198364 239.0081726043 152.8289094828 157.8116948913 304.6161315651 309.2049285939 -39.9755 -18.63844444 "Mussu_no_col" "No" 0 1 3174935 12693063 793629 1973112 463600 58603 4105957 1130256 387874 732832 5264.31 187.49 188.42 4288.96 2136.76 1076.99 53544.12 10430.41 1897.39 "none"
"N_O" 243.8220974429 187.6553555645 313.2334442342 98.5152169722 101.451187007 104.0473152378 93.1754580547 54.7130303909 56.8705798177 58.5602405036 46.3629734642 147.4842670568 151.3563900367 155.0674432241 140.1692239577 101.3826323837 84.249531827 56.6461817061 47.4539856188 151.3563900367 125.499259633 113.7602549013 121.1382265856 138.0750154713 62.953498907 67.729605615 76.7568400881 175.1132015395 180.8680712509 206.4780468675 103.6110389684 108.1013718968 116.9638576158 50.5073105286 51.6724466863 55.2015718877 162.2448873398 173.7236280143 194.1908903214 123.5711283069 123.7638350119 140.6116717426 140.8184995782 69.124791105 69.4458254518 78.2243955838 78.5728211288 184.6149420394 184.6150155558 210.3757266741 210.3757998768 195.7793874562 217.5722714089 150.6082462525 167.4982012975 252.7614531885 279.6792851521 -39.92688889 -18.64530556 "Mussu_no_col" "No" 0 1 3174928 12693039 793628 3310830 912722 193716 1195969 535961 240086 74656 2270.67 515.51 30.7 4044.64 1730.7 0 50498.3 14802.48 3259.02 "none"
"N_P" 244.5787760544 196.4676978303 314.4403067783 119.0694854924 121.7058662594 124.1199849778 111.1128523236 91.1464519305 93.0047695803 94.7107660779 85.0957823617 159.8079450362 164.2965695901 168.3945111325 143.8630663825 113.6413593751 96.452407719 82.9881466271 71.7052447325 161.2204538745 134.8484259698 141.6628228585 142.03642692 159.3119098381 105.4170961055 106.8134875875 118.3153840661 193.8891530248 194.9523771912 220.8795027929 129.5504285193 142.6850368384 160.1688233471 96.3101665369 103.0481459698 112.8512450978 170.7955725181 191.7430336683 218.1422917187 144.4546943974 144.4546943974 161.8904212319 161.8904212319 108.5052927763 108.5052927763 120.1024015751 120.1024015751 199.132171998 199.132171998 225.416175064 225.416175064 214.8827816736 229.9980619167 174.4993889201 185.7994484495 274.1982676135 294.6628628807 -39.96102698 -18.84757867 "Mussu_no_col" "No" 0 1 3174745 12692306 793582 1681814 446809 161891 1944004 870074 315703 573052 5418.45 2978.16 83.14 0 0 0 42710.11 9690.42 3903.17 "mussu_NP=MF"
